WellID,AquiferID,Latitude,Longitude,Altitude,Screened,ScreenTopDepth,ScreenBottomDepth,Penetration,Diameter,Diameter_Flag,AquiferName,Confined,TopDepth,TopDepth_Flag,BottomDepth,BottomDepth_Flag,Kh,Kh_Flag,Ss,Ss_Flag,Porosity,Porosity_Flag,TotalInjection,ElapsedTime,InjectionRate,B,T,S,travelDistance,HydraulicGradient,DarcyFlow,maxDistance
W4234920073,A4234920073,32.120115999999996,-96.311278,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,582,Measured,837,Measured,4.98,Default,1e-06,Default,0.1,Default,123296.25000146398,425.0,290.10882353285643,255,1269.9,0.000255,39.23671215446725,0.001,0.004980000000000001,1.4973373297942927
W4234982857,A4234982857,32.119827,-96.31268100000001,-999999,True,764,864,Partial,1.3333333333333333,Default,Nacatoch,True,586,Measured,844,Measured,4.98,Default,1e-06,Default,0.1,Default,361174.9166709551,1156.0,312.4350490233176,258,1284.84,0.000258,66.75682331520264,0.001,0.004980000000000001,2.8304907883917254
W4234900411,A4234900411,32.119652,-96.31482199999999,-999999,True,755,785,Partial,1.3333333333333333,Default,Nacatoch,True,599,Measured,861,Measured,4.98,Default,1e-06,Default,0.1,Default,2611904.1666976786,1706.0,1531.010648709073,262,1304.7600000000002,0.000262,178.1377990340495,0.001,0.004980000000000001,1.278398823390739
W4234920078,A4234920078,32.118978000000006,-96.31478299999999,-999999,True,776,796,Partial,1.3333333333333333,Default,Nacatoch,True,604,Measured,866,Measured,4.98,Default,1e-06,Default,0.1,Default,114352.2187513578,916.0,124.83866675912424,262,1304.7600000000002,0.000262,37.27916492414021,0.001,0.004980000000000001,4.743724197172446
W4234934150,A4234934150,32.116751,-96.318924,-999999,True,716,721,Partial,1.3333333333333333,Default,Nacatoch,True,627,Measured,893,Measured,4.98,Default,1e-06,Default,0.1,Default,806416.9895929088,5489.0,146.91510103714862,266,1324.68,0.000266,98.23677220160292,0.001,0.004980000000000001,18.454346067716628
W4234982917,A4234982917,32.115751,-96.319223,-999999,True,822,845,Partial,1.3333333333333333,Default,Nacatoch,True,633,Measured,898,Measured,4.98,Default,1e-06,Default,0.1,Default,348991.2708374773,3534.0,98.75248184422108,265,1319.7,0.000265,64.74890583242137,0.001,0.004980000000000001,17.706435162710953
W4234931844,A4234931844,32.115133,-96.344089,-999999,True,994,998,Partial,1.3333333333333333,Default,Nacatoch,True,711,Measured,1011,Measured,4.98,Default,1e-06,Default,0.1,Default,495627.3437558851,883.0,561.2993700519651,300,1494.0000000000002,0.0003,72.52043836165355,0.001,0.004980000000000001,1.7452910452938537
W4234980392,A4234980392,32.113769,-96.458074,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,0,Measured,239,Measured,4.98,Default,1e-06,Default,0.1,Default,0.0,0.0,,239,1190.22,0.000239,0.6666666666666666,0.001,0.004980000000000001,
W4234931232,A4234931232,32.113696000000004,-96.32719499999999,-999999,True,936,953,NotScreened,1.3333333333333333,Default,Nacatoch,True,662,Measured,936,Measured,4.98,Default,1e-06,Default,0.1,Default,757.9687500089999,183.0,4.141905737754098,274,1364.5200000000002,0.00027400000000000005,3.0413616358443845,0.001,0.004980000000000001,21.99975312413024
W4234981949,A4234981949,32.113437,-96.352019,-999999,True,921,925,Partial,1.3333333333333333,Default,Nacatoch,True,721,Measured,1034,Measured,4.98,Default,1e-06,Default,0.1,Default,4971152.0833923565,4232.0,1174.6578646957366,313,1558.7400000000002,0.000313,224.8450507973462,0.001,0.004980000000000001,3.1898481718483236
W4234934622,A4234934622,32.113253,-96.351777,-999999,True,940,970,Partial,1.3333333333333333,Default,Nacatoch,True,732,Measured,1045,Measured,4.98,Default,1e-06,Default,0.1,Default,10856358.333462253,6574.0,1651.4083257472241,313,1558.7400000000002,0.000313,332.2736158175743,0.001,0.004980000000000001,3.429989981924517
W4234980391,A4234980391,32.113188,-96.45696,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,0,Measured,233,Measured,4.98,Default,1e-06,Default,0.1,Default,39425.6041671348,1036.0,38.05560247792934,233,1160.34,0.000233,23.217496865959763,0.001,0.004980000000000001,12.485695330446742
W4234981947,A4234981947,32.112903,-96.350967,-999999,True,875,955,Partial,1.3333333333333333,Default,Nacatoch,True,716,Measured,1027,Measured,4.98,Default,1e-06,Default,0.1,Default,57156.458334012015,518.0,110.34065315446337,311,1548.7800000000002,0.000311,24.19593670515325,0.001,0.004980000000000001,3.85508898932899
W4234902509,A4234902509,32.112559000000005,-96.350071,-999999,True,970,980,Partial,1.3333333333333333,Default,Nacatoch,True,708,Measured,1018,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,310,1543.8000000000004,0.00031,,0.001,0.004980000000000001,
W4234902510,A4234902510,32.112229,-96.35140600000001,-999999,True,972,982,Partial,1.3333333333333333,Default,Nacatoch,True,736,Measured,1048,Measured,4.98,Default,1e-06,Default,0.1,Default,557915.5312566246,1249.0,446.6897768267611,312,1553.7600000000002,0.000312,75.44821176588344,0.001,0.004980000000000001,2.6556928644941813
W4234902505,A4234902505,32.1119,-96.35274100000001,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,735,Measured,1047,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,312,1553.7600000000002,0.000312,,0.001,0.004980000000000001,
W4234980236,A4234980236,32.111816,-96.36516400000001,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,628,Measured,946,Measured,4.98,Default,1e-06,Default,0.1,Default,196454.27083566604,974.0,201.69843001608425,318,1583.64,0.00031800000000000003,44.34976441268801,0.001,0.004980000000000001,4.002905397198911
W4234981951,A4234981951,32.111323,-96.35238100000001,-999999,True,958,968,Partial,1.3333333333333333,Default,Nacatoch,True,735,Measured,1047,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,312,1553.7600000000002,0.000312,,0.001,0.004980000000000001,
W4234934234,A4234934234,32.111259000000004,-96.36864399999999,-999999,True,744,750,Partial,1.3333333333333333,Default,Nacatoch,True,591,Measured,904,Measured,4.98,Default,1e-06,Default,0.1,Default,10357502.604289623,9711.0,1066.5742564400807,313,1558.7400000000002,0.000313,324.54979594348765,0.001,0.004980000000000001,6.448796599629699
W4234933303,A4234933303,32.111196,-96.366974,-999999,True,726,740,Partial,1.3333333333333333,Default,Nacatoch,True,613,Measured,928,Measured,4.98,Default,1e-06,Default,0.1,Default,9464952.291779025,9711.0,974.6629895766679,315,1568.7,0.000315,309.2644596008156,0.001,0.004980000000000001,6.965705455255947
W4234934000,A4234934000,32.110935,-96.374502,-999999,True,650,670,Partial,1.3333333333333333,Default,Nacatoch,True,549,Measured,856,Measured,4.98,Default,1e-06,Default,0.1,Default,335128.86458731233,7946.0,42.17579468755503,307,1528.86,0.000307,58.950781935511124,0.001,0.004980000000000001,94.68962491300958
W4234933862,A4234933862,32.109921,-96.32342299999999,-999999,True,902,912,Partial,1.3333333333333333,Default,Nacatoch,True,665,Measured,932,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,267,1329.66,0.000267,,0.001,0.004980000000000001,
W4234931654,A4234931654,32.109424,-96.324525,-999999,True,902,908,Partial,1.3333333333333333,Default,Nacatoch,True,672,Measured,941,Measured,4.98,Default,1e-06,Default,0.1,Default,208329.11458580702,487.0,427.78052276346415,269,1339.62,0.000269,49.655008110540216,0.001,0.004980000000000001,1.3178292853393645
W4234902106,A4234902106,32.108483,-96.368842,-999999,True,771,779,Partial,1.3333333333333333,Default,Nacatoch,True,599,Measured,909,Measured,4.98,Default,1e-06,Default,0.1,Default,104431.25000123995,365.0,286.11301370202733,310,1543.8000000000004,0.00031,32.752876084863104,0.001,0.004980000000000001,1.5538499876069576
W4234982379,A4234982379,32.107788,-96.366311,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,632,Measured,943,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,311,1548.7800000000002,0.000311,,0.001,0.004980000000000001,
W4234932120,A4234932120,32.106254,-96.32645,-999999,True,940,948,Partial,1.3333333333333333,Default,Nacatoch,True,693,Measured,963,Measured,4.98,Default,1e-06,Default,0.1,Default,14904708.729343625,11293.0,1319.8183591024194,270,1344.6,0.00027,419.1847564097098,0.001,0.004980000000000001,5.466610477609746
W4234902347,A4234902347,32.105134,-96.464786,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,1,Measured,175,Measured,4.98,Default,1e-06,Default,0.1,Default,260752.47916976304,3414.0,76.3774104187941,174,866.5200000000002,0.000174,69.0692750344419,0.001,0.004980000000000001,14.88491711110022
W4234980069,A4234980069,32.105059999999995,-96.31885600000001,-999999,True,701,728,Partial,1.3333333333333333,Default,Nacatoch,True,669,Measured,929,Measured,4.98,Default,1e-06,Default,0.1,Default,43305.2812505142,2010.0,21.544916045031943,260,1294.8000000000004,0.00026000000000000003,23.035136152527095,0.001,0.004980000000000001,41.5481429522927
W4234980667,A4234980667,32.104346,-96.376191,-999999,True,787,809,Partial,1.3333333333333333,Default,Nacatoch,True,585,Measured,883,Measured,4.98,Default,1e-06,Default,0.1,Default,19224.3333335616,1430.0,13.443589743749369,298,1484.0400000000004,0.000298,14.345380081089756,0.001,0.004980000000000001,53.39034674935396
W4234902334,A4234902334,32.104279999999996,-96.32084499999999,-999999,True,730,760,Partial,1.3333333333333333,Default,Nacatoch,True,676,Measured,937,Measured,4.98,Default,1e-06,Default,0.1,Default,106480.57291793096,2164.0,49.20544035024537,261,1299.7800000000002,0.000261,36.04245029349832,0.001,0.004980000000000001,20.97637872926586
W4234980668,A4234980668,32.104275,-96.375734,-999999,True,0,0,NotScreened,1.3333333333333333,Default,Nacatoch,True,593,Measured,891,Measured,4.98,Default,1e-06,Default,0.1,Default,182625000.0,3652.5,50000.0,298,1484.0400000000004,0.000298,,0.001,0.004980000000000001,
W4234980240,A4234980240,32.104138,-96.317996,-999999,True,700,719,Partial,1.3333333333333333,Default,Nacatoch,True,661,Measured,919,Measured,4.98,Default,1e-06,Default,0.1,Default,10920.364583463,487.0,22.42374657795277,258,1284.84,0.000258,11.626497959018636,0.001,0.004980000000000001,11.235657095530621
W4234980664,A4234980664,32.103772,-96.37733100000001,-999999,True,788,810,Partial,1.3333333333333333,Default,Nacatoch,True,586,Measured,882,Measured,4.98,Default,1e-06,Default,0.1,Default,15967.875000189599,975.0,16.377307692502153,296,1474.0800000000004,0.000296,13.120913927881348,0.001,0.004980000000000001,30.92280464057476
W4234980275,A4234980275,32.103638000000004,-96.31966700000001,-999999,True,734,766,Partial,1.3333333333333333,Default,Nacatoch,True,675,Measured,935,Measured,4.98,Default,1e-06,Default,0.1,Default,178279.86458545015,3957.0,45.05429986996466,260,1294.8000000000004,0.00026000000000000003,46.723326380131866,0.001,0.004980000000000001,39.27875418539702
